Timestamp | Device_ID | Value | Source
------------------------------------------------------------
# Heart Rate CRITICAL Alerts
2026-06-01 06:57:02 | WARD_A_HR_01 | 55 | Heart Rate
2026-06-01 06:57:02 | WARD_A_HR_02 | 141 | Heart Rate
2026-06-01 06:57:03 | WARD_A_HR_01 | 131 | Heart Rate
2026-06-01 06:57:03 | WARD_A_HR_02 | 56 | Heart Rate
2026-06-01 06:57:03 | WARD_A_HR_05 | 141 | Heart Rate
2026-06-01 06:57:04 | WARD_A_HR_01 | 148 | Heart Rate
2026-06-01 06:57:04 | WARD_A_HR_03 | 111 | Heart Rate
2026-06-01 06:57:04 | WARD_A_HR_04 | 122 | Heart Rate
2026-06-01 06:57:04 | WARD_A_HR_05 | 139 | Heart Rate
2026-06-01 06:57:05 | WARD_A_HR_01 | 103 | Heart Rate
2026-06-01 06:57:05 | WARD_A_HR_03 | 50 | Heart Rate
2026-06-01 06:57:06 | WARD_A_HR_01 | 105 | Heart Rate
2026-06-01 06:57:06 | WARD_A_HR_03 | 58 | Heart Rate
2026-06-01 06:57:06 | WARD_A_HR_04 | 130 | Heart Rate
2026-06-01 06:57:06 | WARD_A_HR_05 | 51 | Heart Rate
2026-06-01 06:57:07 | WARD_A_HR_02 | 48 | Heart Rate
2026-06-01 06:57:07 | WARD_A_HR_04 | 148 | Heart Rate
2026-06-01 06:57:07 | WARD_A_HR_05 | 137 | Heart Rate
2026-06-01 06:57:08 | WARD_A_HR_01 | 54 | Heart Rate
2026-06-01 06:57:08 | WARD_A_HR_02 | 145 | Heart Rate
2026-06-01 06:57:08 | WARD_A_HR_04 | 120 | Heart Rate
2026-06-01 06:57:08 | WARD_A_HR_05 | 47 | Heart Rate
2026-06-01 06:57:09 | WARD_A_HR_02 | 142 | Heart Rate
2026-06-01 06:57:09 | WARD_A_HR_04 | 104 | Heart Rate
2026-06-01 06:57:10 | WARD_A_HR_02 | 122 | Heart Rate
2026-06-01 06:57:10 | WARD_A_HR_04 | 132 | Heart Rate
2026-06-01 06:57:10 | WARD_A_HR_05 | 127 | Heart Rate
2026-06-01 06:57:11 | WARD_A_HR_01 | 111 | Heart Rate
2026-06-01 06:57:11 | WARD_A_HR_02 | 141 | Heart Rate
2026-06-01 06:57:11 | WARD_A_HR_03 | 56 | Heart Rate
2026-06-01 06:57:11 | WARD_A_HR_04 | 47 | Heart Rate
2026-06-01 06:57:11 | WARD_A_HR_05 | 108 | Heart Rate
2026-06-01 06:57:12 | WARD_A_HR_01 | 128 | Heart Rate
2026-06-01 06:57:12 | WARD_A_HR_02 | 115 | Heart Rate
2026-06-01 06:57:13 | WARD_A_HR_01 | 116 | Heart Rate
2026-06-01 06:57:13 | WARD_A_HR_02 | 133 | Heart Rate
2026-06-01 06:57:13 | WARD_A_HR_03 | 57 | Heart Rate
2026-06-01 06:57:13 | WARD_A_HR_05 | 150 | Heart Rate
2026-06-01 06:57:14 | WARD_A_HR_01 | 50 | Heart Rate
